geoid,mrfei
48039660100,25
48039660200,14
48039660300,12
48039660400,8
48039660500,7
48039660900,0
48039661000,15
48039661100,10
48039661200,12
48039661300,7
48039661400,12
48039661700,0
48039661800,0
48039661900,0
48039662000,7
48039662100,10
48039662200,11
48039662300,14
48039662400,13
48039662500,0
48039662600,8
48039662700,0
48039662800,11
48039662900,18
48039663100,7
48039663700,20
48039664000,13
48039664100,0
48039664200,9
48071710100,8
48071710200,0
48071710300,0
48071710500,17
48071710600,NA
48157670200,9
48157670300,0
48157670400,0
48157670500,0
48157670700,20
48157670800,13
48157671100,3
48157671200,0
48157671300,3
48157671400,0
48157671700,3
48157671800,2
48157671900,0
48157672100,8
48157672200,20
48157672400,5
48157672500,4
48157672800,14
48157672900,6
48157673200,17
48157673300,9
48157673400,0
48157673500,0
48157673600,0
48157673700,0
48157673800,0
48157674000,4
48157674100,12
48157674200,13
48157674300,12
48157674400,0
48157674700,5
48157674800,6
48157674900,4
48157675000,2
48157675100,3
48157675200,0
48157675300,0
48157675400,0
48157675500,0
48157675600,13
48157675700,11
48157675800,NA
48167720100,8
48167720200,7
48167720400,6
48167720600,15
48167720700,10
48167720800,16
48167720900,11
48167721000,0
48167721100,9
48167721300,8
48167721400,9
48167721500,7
48167721600,13
48167721700,0
48167721800,0
48167721900,3
48167722100,11
48167722200,9
48167722300,8
48167722600,6
48167722700,0
48167722800,0
48167722900,0
48167723000,0
48167723100,0
48167723200,6
48167723300,8
48167723400,6
48167723600,8
48167723700,10
48167723800,0
48167723900,0
48167724000,3
48167724200,11
48167724300,4
48167724400,3
48167724500,0
48167724600,0
48167724700,0
48167724800,0
48167724900,0
48167725000,0
48167725100,0
48167725200,0
48167725300,5
48167725400,4
48167725500,5
48167725600,10
48167725700,13
48167725800,5
48167725900,14
48167726000,0
48167726100,0
48185180101,8
48185180102,33
48185180200,13
48185180301,0
48185180302,0
48199030100,0
48199030200,25
48199030300,25
48199030400,0
48199030501,20
48199030502,17
48199030600,11
48199030700,13
48199030800,8
48199030900,0
48199031000,8
48201100000,3
48201210100,0
48201210400,3
48201210500,3
48201210600,18
48201210700,0
48201210800,0
48201210900,6
48201211000,6
48201211100,2
48201211200,4
48201211300,4
48201211400,10
48201211500,8
48201211600,7
48201211700,4
48201211900,14
48201220100,0
48201220200,19
48201220300,4
48201220400,8
48201220500,9
48201220600,11
48201220700,7
48201220800,4
48201220900,5
48201221000,6
48201221100,6
48201221200,14
48201221300,4
48201221400,4
48201221500,7
48201221600,9
48201221700,13
48201221800,13
48201221900,11
48201222000,0
48201222100,0
48201222200,13
48201222300,10
48201222600,0
48201222700,0
48201222800,7
48201222900,11
48201223100,0
48201230100,6
48201230200,3
48201230300,0
48201230400,0
48201230500,0
48201230600,5
48201230700,5
48201230800,0
48201230900,0
48201231000,0
48201231100,6
48201231200,0
48201231300,0
48201231400,0
48201231500,6
48201231600,5
48201231700,5
48201231800,15
48201231900,8
48201232000,17
48201232100,16
48201232200,6
48201232500,0
48201232600,11
48201232800,0
48201232900,0
48201233200,8
48201233300,13
48201233400,12
48201233500,10
48201233600,0
48201240100,7
48201240400,0
48201240600,4
48201241000,10
48201241200,8
48201241300,10
48201241400,0
48201250100,0
48201250200,9
48201250500,12
48201250600,2
48201250800,13
48201250900,13
48201251000,14
48201251100,0
48201251200,4
48201251300,16
48201251600,0
48201251700,0
48201251800,0
48201252000,0
48201252100,0
48201252200,8
48201252400,7
48201252500,9
48201252600,4
48201252700,11
48201252800,14
48201252900,8
48201253000,0
48201253100,0
48201253200,6
48201253300,0
48201253400,6
48201253500,11
48201253600,11
48201253700,12
48201253800,20
48201253900,6
48201254000,4
48201254100,11
48201254200,5
48201254300,13
48201254400,12
48201254500,18
48201254600,22
48201254700,6
48201310100,17
48201310200,17
48201310300,9
48201310400,14
48201310500,3
48201310600,7
48201310700,11
48201310800,13
48201310900,8
48201311000,3
48201311100,0
48201311200,13
48201311300,7
48201311400,11
48201311500,13
48201311600,13
48201311700,8
48201311800,31
48201311900,29
48201312000,26
48201312100,4
48201312200,5
48201312300,4
48201312400,3
48201312500,2
48201312600,4
48201312700,0
48201312800,0
48201312900,0
48201313000,0
48201313100,3
48201313200,3
48201313300,30
48201313400,7
48201313500,4
48201313600,5
48201313700,4
48201313800,5
48201313900,11
48201314300,6
48201320100,27
48201320200,18
48201320500,0
48201320700,4
48201320800,11
48201320900,6
48201321000,8
48201321100,7
48201321200,11
48201321300,6
48201321500,15
48201321600,21
48201321700,19
48201321800,18
48201321900,17
48201322000,15
48201322100,8
48201322200,25
48201322600,0
48201322700,10
48201322800,5
48201322900,11
48201323000,4
48201323100,11
48201323200,13
48201323300,7
48201323400,6
48201323500,14
48201323600,8
48201323900,4
48201324000,5
48201330100,7
48201330200,0
48201330400,0
48201330500,0
48201330600,6
48201330700,15
48201330800,17
48201330900,9
48201331100,4
48201331200,4
48201331300,0
48201331400,6
48201331500,12
48201331700,15
48201331800,8
48201331900,6
48201332000,9
48201332100,13
48201332200,11
48201332300,25
48201332400,10
48201332500,8
48201332600,9
48201332700,12
48201332800,9
48201332900,7
48201333000,7
48201333100,8
48201333300,5
48201333500,10
48201333600,9
48201333700,8
48201333800,0
48201340100,0
48201340400,0
48201340500,10
48201340600,0
48201340700,9
48201340800,0
48201340900,9
48201341000,4
48201341100,8
48201341400,17
48201341600,10
48201341700,0
48201341800,6
48201342100,13
48201342200,4
48201342300,14
48201342400,0
48201342500,7
48201342700,8
48201342800,0
48201342900,18
48201343000,17
48201343100,13
48201343200,10
48201350100,20
48201350200,8
48201350300,14
48201350400,4
48201350500,6
48201350700,0
48201410100,0
48201410200,3
48201410300,4
48201410500,4
48201410600,0
48201410800,6
48201410900,9
48201411000,2
48201411100,7
48201411200,11
48201411300,7
48201411400,21
48201411600,5
48201411700,0
48201411800,5
48201411900,3
48201412000,0
48201412100,0
48201412200,5
48201412300,6
48201412400,8
48201412500,8
48201412600,5
48201412700,7
48201412800,10
48201412900,11
48201413000,13
48201413100,9
48201413300,7
48201420100,7
48201420200,20
48201420300,17
48201420400,20
48201420500,5
48201420600,14
48201420700,18
48201420800,15
48201420900,3
48201421000,13
48201421300,6
48201421500,13
48201421600,4
48201421700,15
48201421800,17
48201421900,23
48201422000,0
48201422100,0
48201422200,0
48201422500,9
48201422600,4
48201422800,0
48201422900,3
48201423000,0
48201423100,4
48201423500,0
48201423600,0
48201430100,0
48201430200,0
48201430300,10
48201430400,9
48201430500,15
48201430600,13
48201430700,13
48201430800,9
48201430900,5
48201431000,3
48201431600,11
48201431700,6
48201431900,2
48201432100,5
48201432200,9
48201432300,3
48201432400,5
48201432500,6
48201432600,6
48201433100,13
48201433300,4
48201433400,10
48201433600,10
48201440100,0
48201450100,11
48201450200,5
48201450300,6
48201450400,4
48201450500,8
48201450600,4
48201450700,5
48201450900,7
48201451100,9
48201451200,13
48201451300,9
48201451500,11
48201451700,0
48201451800,7
48201452000,7
48201452100,9
48201452300,8
48201452400,5
48201452500,0
48201452600,7
48201452700,6
48201452900,4
48201453000,6
48201453100,10
48201453200,9
48201453300,4
48201453700,3
48201453800,3
48201453900,4
48201454000,7
48201454100,10
48201454200,11
48201454400,8
48201454600,6
48201454700,0
48201454800,10
48201454900,13
48201455000,19
48201455200,5
48201455300,13
48201510100,0
48201510200,0
48201510300,4
48201510400,6
48201510500,8
48201510600,3
48201510700,0
48201510800,6
48201510900,8
48201511100,7
48201511200,13
48201511400,19
48201511500,37
48201511600,43
48201520100,0
48201520200,4
48201520300,3
48201520400,3
48201520500,3
48201520700,8
48201521000,13
48201521100,14
48201521200,10
48201521300,8
48201521400,14
48201521500,10
48201521600,8
48201521700,2
48201521800,0
48201521900,10
48201522000,12
48201522100,15
48201530100,2
48201530200,4
48201530300,41
48201530400,11
48201530500,10
48201530600,6
48201530700,0
48201530800,0
48201530900,6
48201531000,7
48201531100,6
48201531200,7
48201531300,3
48201531400,10
48201531500,5
48201531600,7
48201531700,13
48201531800,0
48201531900,0
48201532100,9
48201532200,8
48201532300,3
48201532400,5
48201532600,0
48201532700,4
48201532800,5
48201532900,0
48201533000,0
48201533100,0
48201533200,0
48201533300,3
48201533400,0
48201533500,3
48201533600,3
48201534100,0
48201540100,5
48201540200,0
48201540700,6
48201540800,6
48201541100,5
48201541300,12
48201541400,14
48201541500,0
48201541700,4
48201541800,3
48201541900,0
48201542000,0
48201542200,50
48201542400,4
48201542500,0
48201542600,13
48201542700,13
48201542800,0
48201542900,0
48201543100,50
48201550100,8
48201550200,13
48201550500,7
48201550700,9
48201550800,14
48201550900,5
48201551000,8
48201551100,5
48201551200,4
48201551300,0
48201551400,8
48201551500,7
48201551600,0
48201551800,12
48201551900,11
48201552200,4
48201552400,5
48201552500,5
48201552700,14
48201552800,7
48201552900,4
48201553100,5
48201553200,11
48201553300,11
48201553500,0
48201553600,0
48201553700,8
48201553900,8
48201554200,12
48201554600,11
48201554700,8
48201555000,6
48201555100,12
48201555200,0
48201555600,0
48241950500,0
48241950600,11
48241950700,10
48241950800,100
48245000101,7
48245000102,0
48245000103,8
48245000200,6
48245000302,12
48245000304,10
48245000306,14
48245000400,9
48245000500,6
48245000600,4
48245000700,0
48245000900,0
48245001100,5
48245001200,9
48245001301,15
48245001302,0
48245001303,0
48245001700,6
48245001900,4
48245002000,5
48245002100,11
48245002200,5
48245002300,0
48245002400,5
48245002500,9
48245002600,6
48245005100,7
48245005400,8
48245005500,14
48245005600,8
48245005900,0
48245006100,0
48245006300,6
48245006400,10
48245006500,8
48245006600,5
48245006700,6
48245006800,14
48245006900,10
48245007001,11
48245007002,10
48245007100,20
48245010100,11
48245010200,14
48245010300,17
48245010400,7
48245010500,10
48245010600,8
48245010700,13
48245010800,0
48245010901,7
48245010902,6
48245011001,14
48245011002,0
48245011101,13
48245011102,0
48245011201,0
48245011202,NA
48245011203,NA
48245011302,NA
48245011400,7
48245011500,33
48245011600,0
48291700100,14
48291700200,10
48291700300,13
48291700400,0
48291700500,NA
48291700600,0
48291700700,0
48291700800,15
48291700900,17
48291701000,13
48291701100,9
48291701200,22
48291701300,50
48291701400,31
48321730100,11
48339690100,20
48339690300,8
48339690500,15
48339690700,13
48339690800,14
48339690900,22
48339691000,17
48339691100,17
48339691200,8
48339691400,9
48339691500,9
48339691700,13
48339691800,16
48339691900,12
48339692100,17
48339692200,0
48339692300,4
48339692400,5
48339692500,14
48339692700,8
48339692900,0
48339693000,8
48339693200,0
48339693300,7
48339693400,3
48339693500,12
48339693600,20
48339693700,24
48339693800,24
48339693900,9
48339694000,7
48339694400,13
48339694500,38
48339694600,0
48339694700,0
48351950200,25
48351950300,0
48351950400,0
48361020300,7
48361020500,5
48361020700,5
48361020800,0
48361021100,0
48361021200,11
48361021300,13
48361021400,14
48361021600,0
48361021700,14
48361021800,0
48361021900,11
48361022000,10
48361022200,0
48361022300,0
48361022400,0
48373210101,0
48373210102,0
48373210500,0
48407200101,14
48407200102,0
48407200200,50
48407200300,0
48457950200,17
48457950400,20
48457950500,0
48471790200,0
48471790300,9
48471790400,18
48471790500,7
48471790600,6
48471790700,0
48471790800,4
48473680100,14
48473680200,13
48473680300,0
48473680400,0
48473680500,13
48473680600,0
48481740500,11
48481740600,0
